-54,76,-30,-6,42,32,0,0,-1,373036,1,4,bicep curl
-54,76,-29,-5,42,33,0,1,-1,373348,1,4,bicep curl
-53,76,-29,-5,42,32,-1,0,1,373660,1,4,bicep curl
-77,63,-34,-6,44,34,-20,-3,50,373972,1,4,bicep curl
-85,28,-47,-10,52,35,-34,0,97,374284,1,4,bicep curl
-79,-35,-43,-11,66,36,-38,5,87,374596,1,4,bicep curl
-47,-74,-38,-4,74,33,-54,-5,79,374908,1,4,bicep curl
-29,-80,-12,-2,75,31,41,4,-57,375220,1,4,bicep curl
-77,-51,-47,-8,70,36,40,5,-64,375532,1,4,bicep curl
-83,-24,-53,-10,64,37,24,1,-45,375844,1,4,bicep curl
-84,5,-50,-11,58,36,20,1,-44,376156,1,4,bicep curl
-82,33,-49,-11,53,36,18,2,-41,376468,1,4,bicep curl
-63,54,-39,-8,47,35,15,6,-48,376780,1,4,bicep curl
-88,61,-50,-8,47,34,-25,-1,59,377092,1,4,bicep curl
-86,8,-51,-11,59,37,-44,9,104,377404,1,4,bicep curl
-69,-60,-41,-8,71,37,-53,-5,89,377716,1,4,bicep curl
-27,-89,-11,-1,76,31,-22,-2,27,378028,1,4,bicep curl
-60,-74,-38,-5,74,34,52,-2,-73,378340,1,4,bicep curl
-80,-44,-46,-10,67,35,32,1,-47,378652,1,4,bicep curl
-90,-3,-59,-11,60,36,24,-3,-47,378964,1,4,bicep curl
-81,27,-50,-10,53,37,14,1,-42,379276,1,4,bicep curl
-73,51,-44,-9,48,37,13,9,-38,379588,1,4,bicep curl
-56,75,-35,-7,45,36,6,3,-30,379900,1,4,bicep curl
-80,58,-48,-8,46,36,-22,-1,73,380212,1,4,bicep curl
-88,9,-52,-11,57,37,-44,5,95,380524,1,4,bicep curl
-75,-56,-37,-8,70,35,-53,-3,97,380836,1,4,bicep curl
-22,-83,-10,0,77,31,-29,6,50,381148,1,4,bicep curl
-53,-83,-31,-4,75,33,44,3,-72,381460,1,4,bicep curl
-71,-53,-39,-9,70,37,28,-5,-52,381772,1,4,bicep curl
-86,-21,-56,-10,65,36,22,-3,-45,382084,1,4,bicep curl
-86,7,-58,-11,58,36,20,-3,-43,382396,1,4,bicep curl
-80,34,-51,-10,53,37,12,4,-37,382708,1,4,bicep curl
-70,53,-43,-9,48,35,11,5,-32,383020,1,4,bicep curl
-82,72,-44,-7,46,35,-3,-1,-17,383332,1,4,bicep curl
-85,43,-51,-10,52,35,-29,-5,97,383644,1,4,bicep curl
-85,-26,-48,-11,65,36,-46,-2,116,383956,1,4,bicep curl
-44,-66,-30,-4,76,32,-58,7,85,384268,1,4,bicep curl
-29,-74,-15,-1,76,31,50,1,-73,384580,1,4,bicep curl
-83,-55,-49,-8,70,35,38,-1,-67,384892,1,4,bicep curl
-88,-16,-55,-10,63,37,19,-6,-49,385204,1,4,bicep curl
-80,15,-54,-11,57,37,15,1,-41,385516,1,4,bicep curl
-78,41,-53,-10,52,36,16,-1,-35,385828,1,4,bicep curl
-65,64,-43,-8,47,36,15,6,-40,386140,1,4,bicep curl
-84,57,-47,-8,47,35,-25,2,55,386452,1,4,bicep curl
-92,12,-52,-12,57,36,-35,3,95,386764,1,4,bicep curl
-76,-43,-44,-10,70,36,-62,8,96,387076,1,4,bicep curl
-24,-92,-4,-2,78,31,-13,1,39,387388,1,4,bicep curl
-49,-81,-30,-5,76,32,44,-7,-58,387700,1,4,bicep curl
-73,-55,-46,-8,71,35,26,1,-50,388012,1,4,bicep curl
-87,-19,-52,-10,65,37,23,-3,-50,388324,1,4,bicep curl
-87,18,-55,-11,58,36,20,-4,-48,388636,1,4,bicep curl
-75,42,-49,-10,52,35,15,4,-38,388948,1,4,bicep curl
