12,97,-2,-15,27,17,-2,3,-1,3647000,1,6,squat
10,98,-3,-15,27,16,0,-8,-1,3647312,1,6,squat
12,98,-6,-15,27,15,-2,2,-2,3647624,1,6,squat
11,98,-2,-15,27,16,-2,-1,-2,3647936,1,6,squat
11,96,-5,-15,27,18,-1,2,-1,3648248,1,6,squat
12,97,-3,-15,28,18,2,-1,-1,3648560,1,6,squat
11,96,1,-15,27,18,8,-6,-1,3648872,1,6,squat
12,94,21,-15,26,12,29,-1,-4,3649184,1,6,squat
12,90,35,-15,27,6,43,17,0,3649496,1,6,squat
19,81,51,-16,30,-6,52,3,7,3649808,1,6,squat
8,51,79,-15,37,-15,55,-2,-1,3650120,1,6,squat
11,30,97,-15,44,-20,30,9,-1,3650432,1,6,squat
9,26,98,-16,45,-22,-49,9,1,3650744,1,6,squat
6,66,59,-15,32,-8,-91,-9,-3,3651056,1,6,squat
15,84,26,-14,27,7,-63,13,10,3651368,1,6,squat
15,98,0,-15,26,15,1,13,-2,3651680,1,6,squat
9,93,-3,-14,27,15,-2,0,-1,3651992,1,6,squat
18,96,5,-15,27,16,9,-1,0,3652304,1,6,squat
19,97,0,-15,26,11,41,-13,0,3652616,1,6,squat
14,81,39,-15,27,5,55,8,3,3652928,1,6,squat
22,64,66,-15,32,-7,48,0,4,3653240,1,6,squat
4,51,75,-16,37,-15,34,-1,0,3653552,1,6,squat
1,32,90,-16,43,-19,29,-4,-1,3653864,1,6,squat
15,37,97,-15,43,-21,-50,9,-2,3654176,1,6,squat
2,83,51,-14,32,-7,-97,-9,-13,3654488,1,6,squat
24,80,19,-14,26,11,-69,-5,6,3654800,1,6,squat
12,96,-8,-14,27,18,-4,-2,3,3655112,1,6,squat
14,96,-6,-14,27,18,3,-2,2,3655424,1,6,squat
11,100,-2,-14,27,18,9,-10,-1,3655736,1,6,squat
21,92,15,-14,26,13,31,15,0,3656048,1,6,squat
2,89,30,-14,27,7,43,-9,-1,3656360,1,6,squat
8,77,55,-15,30,-4,61,-6,4,3656672,1,6,squat
10,52,78,-15,36,-15,44,2,9,3656984,1,6,squat
