-54,4,-91,-5,68,38,-67,3,32
-46,-38,-86,-5,77,35,-69,-4,36
-20,-74,-67,-1,82,29,-63,19,31
-18,-94,-20,3,82,25,-32,4,18
-12,-96,-31,2,82,26,29,-1,-16
-24,-83,-49,0,82,31,50,9,-30
-47,-43,-75,-5,79,37,69,7,-41
-50,1,-89,-7,69,40,69,-16,-37
-45,42,-100,-4,59,37,59,5,-24
-46,70,-57,3,55,38,44,-1,-23
-37,85,-38,-1,55,51,25,5,-16
-34,89,-40,-24,56,63,-13,-39,3
-40,76,-80,21,52,34,-84,-31,35
-38,22,-107,0,60,36,-99,0,32
-29,-35,-95,-3,74,35,-92,8,30
-17,-84,-44,1,80,30,-73,5,34
-17,-100,-29,2,80,26,22,3,0
-25,-79,-42,1,80,29,53,1,-32
-48,-31,-92,-5,76,37,80,6,-50
-55,0,-108,-6,68,39,44,11,-31
-57,36,-80,-4,60,39,58,0,-23
-47,62,-74,4,54,38,36,-14,-21
-31,81,-58,7,54,50,27,16,-18
-33,87,-40,-32,54,53,2,14,-5
-50,77,-79,6,54,38,-110,-23,45
-32,8,-82,-3,67,37,-107,-6,46
-28,-55,-56,-2,78,31,-95,-6,37
-15,-90,-26,2,82,23,-36,-6,8
-19,-100,-40,1,81,23,29,5,-17
-27,-79,-59,-2,82,27,30,0,-30
-49,-67,-67,-5,82,31,32,7,-20
-44,-42,-75,-7,78,35,45,12,-20
-63,-17,-86,-9,72,37,45,7,-28
-53,19,-81,-8,66,39,52,-8,-27
-53,47,-90,-2,57,37,38,1,-27
-39,74,-58,8,55,39,47,4,-25
-52,84,-48,-4,57,57,-15,3,1
-48,67,-84,2,56,36,-105,-15,55
-45,-7,-89,-6,72,39,-126,-1,64
-23,-68,-67,0,81,29,-71,1,33
-25,-91,-28,1,81,25,7,6,-3
-21,-82,-38,-1,81,28,29,-16,-20
-28,-61,-50,-3,81,32,49,-6,-33
-58,-32,-92,-7,77,36,45,-1,-25
-66,0,-83,-8,71,39,40,0,-25
-54,30,-90,-5,63,38,44,-9,-21
-34,75,-62,2,55,37,50,15,-39
-34,87,-40,-4,58,56,24,16,-22
-28,85,-34,78,52,98,0,-25,4
-46,77,-51,5,59,56,-49,-25,27
-39,47,-95,1,59,36,-105,-19,40
-33,-19,-93,-3,73,37,-96,-4,26
-16,-70,-39,0,81,29,-98,11,32
-9,-99,-27,2,83,23,1,36,-11
-31,-77,-31,-2,83,27,47,-7,-34
-59,-34,-83,-8,78,37,82,-4,-58
-64,13,-88,-9,69,40,62,11,-43
-49,40,-67,-2,61,37,48,-7,-21
-31,71,-65,9,56,36,40,-7,-17
-32,83,-49,21,60,51,31,2,-13
-36,96,-47,-20,56,85,6,8,-5
-44,79,-78,15,56,39,-85,-16,42
-41,27,-91,-3,66,38,-130,-2,43
-31,-40,-62,-3,79,34,-88,2,48
-19,-80,-33,1,83,26,-55,-13,6
-20,-91,-39,1,83,22,12,-10,-7
-23,-81,-51,-1,83,27,52,-15,-18
-44,-45,-64,-3,81,35,70,15,-27
-46,-9,-97,-6,73,39,56,-2,-26
