-91,18,-43,-11,55,36,-33,-3,92
-86,-36,-37,-10,67,36,-40,1,83
-50,-84,-18,-4,75,34,-36,-7,77
-34,-87,-12,-2,76,31,31,2,-52
-67,-53,-30,-8,70,34,39,0,-64
-94,-14,-47,-11,62,35,31,-9,-68
-83,33,-46,-11,53,37,22,1,-60
-71,67,-37,-8,46,36,14,4,-41
-87,58,-41,-7,46,35,-14,-7,49
-90,15,-52,-10,55,36,-46,6,104
-73,-47,-36,-9,68,36,-47,5,82
-37,-86,-9,-3,75,33,-39,-3,58
-40,-84,-14,-2,76,32,44,-2,-62
-83,-48,-45,-8,69,35,39,-5,-64
-78,-4,-44,-10,60,36,29,0,-68
-85,32,-49,-10,51,36,21,11,-58
-71,65,-38,-9,46,34,14,7,-43
-90,60,-41,-8,45,35,-17,-10,45
-91,9,-55,-11,56,37,-50,7,108
-72,-49,-34,-9,69,35,-49,-2,84
-32,-77,-6,-1,76,31,-23,16,29
-65,-73,-31,-6,74,33,46,-9,-72
-87,-36,-47,-10,67,36,35,-3,-56
-86,9,-46,-11,59,37,23,1,-62
-83,38,-42,-10,52,36,16,12,-45
-74,58,-38,-9,47,36,11,6,-35
-97,54,-47,-9,47,35,-23,-11,69
-85,-2,-46,-12,61,37,-52,9,111
-62,-67,-25,-7,73,33,-51,-6,95
-26,-79,-2,0,77,29,4,7,-12
-56,-75,-33,-5,73,33,35,-5,-55
-82,-43,-44,-9,69,35,28,-10,-55
-87,-3,-47,-11,61,38,31,0,-61
-85,30,-43,-11,53,38,17,5,-52
-69,61,-33,-9,46,35,13,6,-43
-89,59,-46,-9,46,36,-21,-7,64
-95,4,-48,-11,60,38,-57,1,115
-63,-60,-31,-7,72,34,-54,4,102
-21,-78,5,1,77,31,3,4,-13
-69,-73,-31,-4,74,33,35,-8,-53
-78,-51,-44,-9,69,35,33,3,-56
-90,-13,-55,-11,60,37,19,-2,-51
-92,26,-51,-11,53,36,17,10,-48
-79,51,-39,-9,48,36,17,2,-38
-83,56,-43,-8,45,35,-13,-3,21
-88,17,-51,-11,55,37,-49,8,113
-69,-57,-35,-9,71,36,-54,4,112
-27,-77,0,-1,77,30,0,2,-11
-80,-62,-42,-7,72,34,40,-9,-75
-84,-28,-42,-11,66,36,25,-13,-50
-87,8,-49,-11,58,36,18,4,-45
-86,35,-47,-11,53,37,15,-2,-39
-71,54,-39,-10,48,36,17,5,-41
-82,66,-37,-8,44,37,-9,-4,20
-91,27,-50,-12,53,37,-43,5,111
-77,-41,-42,-10,70,35,-52,7,115
-22,-81,7,-1,77,29,-5,-1,19
-71,-71,-33,-7,74,33,38,-6,-64
-83,-30,-45,-10,68,35,28,-10,-50
-89,0,-48,-12,61,35,27,-1,-50
-89,28,-46,-11,54,36,16,1,-44
-70,59,-36,-10,47,36,17,10,-42
-87,55,-36,-8,45,36,-17,-6,31
-87,22,-53,-11,56,37,-46,4,102
-77,-48,-32,-9,71,35,-62,5,114
-22,-85,4,-1,77,29,-2,5,3
-73,-60,-35,-7,72,34,48,-10,-79
-82,-19,-49,-11,65,35,26,0,-59
-89,16,-53,-11,56,35,14,-6,-50
-83,38,-46,-10,51,37,10,2,-27
-77,52,-40,-10,48,36,9,3,-17
-66,66,-35,-9,45,36,16,7,-38
-84,69,-41,-9,45,35,-20,-3,59
-88,18,-49,-12,55,37,-42,1,100
-74,-50,-30,-10,70,34,-73,3,121
-17,-87,11,0,77,29,13,8,-6
-67,-65,-36,-7,71,34,52,-3,-80
-83,-20,-43,-11,64,36,24,1,-64
-87,9,-49,-11,57,36,24,3,-54
-85,39,-45,-11,51,35,8,5,-35
-72,61,-38,-9,47,36,11,2,-34
-70,66,-30,-7,44,36,-10,-6,5
-84,46,-46,-11,51,36,-20,-7,79
-95,-9,-51,-12,63,37,-47,8,111
-56,-65,-33,-5,75,33,-63,4,107
-22,-79,-5,-1,77,30,45,9,-80
-80,-56,-37,-8,70,37,36,-2,-60
-87,-15,-48,-11,64,37,24,-3,-53
-83,21,-48,-11,55,37,19,-3,-48
-74,60,-41,-10,48,37,22,7,-60
-72,62,-37,-9,46,36,-6,17,2
-80,56,-31,-11,48,35,-20,16,-7
-81,56,-32,-13,49,34,-2,-4,9
-94,47,-16,-16,51,32,-3,36,26
-78,58,-21,-17,50,33,18,-51,-8
-82,50,-16,-15,49,33,7,-10,-1
-80,50,-18,-15,49,36,-2,0,4
-84,50,-14,-15,49,36,1,4,1
-82,48,-14,-16,50,35,-1,4,0
-82,49,-18,-15,50,35,7,-11,-1
-90,54,-13,-15,50,37,-17,30,-17
-80,50,-14,-15,49,34,-2,-1,4
-91,47,-15,-16,49,34,-9,25,3
-53,38,64,-24,54,11,4,43,13
-112,37,8,-23,53,23,19,-113,-17
-92,44,19,-22,53,25,3,-3,-7
