-91,59,-27,-10,45,36,-17,-4,45
-100,1,-40,-13,57,37,-52,-4,137
-60,-71,-17,-5,70,37,-49,5,104
-7,-97,5,3,73,32,-24,10,58
-16,-92,-1,5,72,31,28,-21,-58
-65,-52,-25,-6,68,36,52,-10,-113
-102,-2,-41,-11,58,40,42,-5,-85
-84,52,-28,-11,48,37,25,19,-63
-79,53,-28,-11,46,36,0,3,7
-101,24,-44,-11,52,38,-48,-9,110
-68,-45,-27,-7,67,38,-68,22,129
-16,-94,2,3,74,33,-29,9,73
-19,-90,2,4,74,33,26,-25,-65
-55,-58,-12,-4,72,35,33,-25,-87
-91,-24,-38,-10,62,40,45,14,-96
-99,44,-36,-11,50,40,17,7,-60
-77,45,-28,-12,49,37,2,0,8
-84,47,-27,-12,48,39,2,-4,-2
-82,45,-29,-11,48,38,0,2,0
-83,45,-28,-12,48,38,-2,-2,0
-81,48,-27,-12,49,38,0,2,-3
-77,49,-28,-11,48,38,1,0,-2


