-29,94,-21,46,-20,15,12,7,13,4941022,1,squat
-20,93,-3,46,-9,14,-7,22,7,4941334,1,squat
-27,92,-8,47,-6,15,5,-1,5,4941646,1,squat
-23,90,-15,47,-7,14,2,-15,-6,4941958,1,squat
-14,90,-11,49,-8,14,-4,-2,-11,4942270,1,squat
-17,101,-8,48,-14,15,4,31,-3,4942582,1,squat
0,103,-9,47,-15,13,3,1,6,4942894,1,squat
-21,92,-7,47,-12,13,7,-28,6,4943206,1,squat
-15,96,-8,47,-15,12,1,-10,-3,4943518,1,squat
-16,91,-10,49,-17,13,2,-12,4,4943830,1,squat
-8,94,-14,48,-16,13,8,1,8,4944142,1,squat
-18,90,-4,46,-17,13,0,-1,-1,4944454,1,squat
-40,93,-9,46,-18,14,3,-12,1,4944766,1,squat
-11,95,-7,45,-18,13,4,-1,2,4945078,1,squat
-36,96,-2,45,-16,13,1,12,1,4945390,1,squat
-1,93,-14,45,-16,12,0,-5,4,4945702,1,squat
-36,100,3,44,-16,13,24,-20,19,4946014,1,squat
-43,69,26,43,-5,10,78,15,54,4946326,1,squat
-54,30,72,44,6,1,76,11,29,4946638,1,squat
-43,10,102,38,17,-5,25,9,15,4946950,1,squat
-48,-8,104,36,20,-5,-47,-8,-7,4947262,1,squat
-48,51,58,36,11,5,-68,-29,-57,4947574,1,squat
-32,77,14,41,2,13,-71,-13,-53,4947886,1,squat
-5,102,-2,41,-9,15,-5,0,-2,4948198,1,squat
-8,92,-14,42,-8,16,5,0,-1,4948510,1,squat
-30,106,8,40,-7,15,39,16,34,4948822,1,squat
-28,58,41,34,6,10,86,24,52,4949134,1,squat
-52,32,83,35,20,-3,59,32,39,4949446,1,squat
-58,-23,99,34,29,-6,24,-5,15,4949758,1,squat
-51,0,97,24,33,-2,-79,-22,-19,4950070,1,squat
-46,55,46,23,24,8,-80,-34,-74,4950382,1,squat
-14,81,13,26,10,16,-56,-37,-47,4950694,1,squat
-18,99,6,29,7,19,0,-10,0,4951006,1,squat
-41,74,19,23,11,18,55,9,50,4951318,1,squat
-53,56,50,21,22,11,69,22,41,4951630,1,squat
-54,28,78,21,30,4,61,22,30,4951942,1,squat
-58,5,84,22,37,-1,30,3,13,4952254,1,squat
-57,-30,96,20,41,-2,-4,-9,-2,4952566,1,squat
-52,35,75,19,31,2,-85,-33,-69,4952878,1,squat
-33,66,12,22,20,16,-97,-36,-89,4953190,1,squat
-33,91,-3,24,11,19,-6,12,-5,4953502,1,squat
-4,72,20,20,18,17,84,45,68,4953814,1,squat
-82,58,52,18,27,9,57,23,44,4954126,1,squat
-52,11,73,19,33,1,52,11,26,4954438,1,squat
-54,-5,87,18,40,0,28,10,8,4954750,1,squat
-64,-23,101,19,40,-2,-35,-8,-13,4955062,1,squat
-54,43,65,18,31,5,-82,-39,-73,4955374,1,squat
-28,64,4,23,17,17,-83,-22,-65,4955686,1,squat
-26,94,-2,23,14,19,-2,1,-1,4955998,1,squat
-26,73,11,21,17,18,29,-12,45,4956310,1,squat
-46,83,44,17,25,11,69,38,57,4956622,1,squat
-54,24,77,16,34,3,61,15,37,4956934,1,squat
-42,-18,92,17,44,-2,34,2,14,4957246,1,squat
-49,-22,95,15,45,-2,-28,-15,-7,4957558,1,squat
-53,28,65,15,34,5,-84,-36,-65,4957870,1,squat
-38,73,17,19,24,18,-75,-41,-69,4958182,1,squat
-16,101,0,22,17,19,5,-37,1,4958494,1,squat
20,89,29,18,19,19,58,29,37,4958806,1,squat
-48,58,49,16,27,11,85,9,55,4959118,1,squat
-48,17,79,15,36,3,52,22,28,4959430,1,squat
-48,1,98,16,43,-1,4,0,3,4959742,1,squat
-48,-18,109,16,41,0,-40,-14,-5,4960054,1,squat
-53,43,60,16,32,7,-81,-38,-62,4960366,1,squat
-34,66,8,20,20,18,-67,-36,-60,4960678,1,squat
-18,98,-7,22,17,21,-8,9,-5,4960990,1,squat
-10,63,-14,19,21,20,66,10,61,4961302,1,squat
-46,61,57,15,30,11,76,29,50,4961614,1,squat
-54,12,90,16,39,2,58,20,22,4961926,1,squat
-46,-9,93,16,45,-1,11,-3,4,4962238,1,squat
-60,-1,105,16,43,0,-58,-11,-15,4962550,1,squat
-45,53,56,16,33,8,-89,-20,-65,4962862,1,squat
-50,57,13,21,22,18,-66,-44,-37,4963174,1,squat
-6,96,15,22,18,21,13,6,5,4963486,1,squat
-48,83,12,18,25,16,84,19,66,4963798,1,squat
-48,44,74,16,35,6,74,13,36,4964110,1,squat
-45,-19,94,15,46,0,52,5,13,4964422,1,squat
-43,-21,81,14,50,-1,5,6,2,4964734,1,squat
-32,14,81,13,42,1,-115,-30,-55,4965046,1,squat
-27,80,10,16,29,17,-111,-36,-87,4965358,1,squat
1,108,9,21,18,21,-8,30,-3,4965670,1,squat
-9,75,11,18,21,19,86,39,40,4965982,1,squat
-59,61,50,14,31,11,57,21,46,4966294,1,squat
-53,26,75,13,38,5,46,6,23,4966606,1,squat
-49,12,78,14,42,0,44,14,13,4966918,1,squat
-60,-27,90,13,49,-1,17,-3,10,4967230,1,squat
-62,14,72,12,42,2,-117,-35,-45,4967542,1,squat
-40,70,0,14,31,15,-108,-69,-101,4967854,1,squat
-48,85,-27,19,21,20,15,-40,2,4968166,1,squat
-43,88,18,17,23,18,42,41,41,4968478,1,squat
-62,66,41,14,29,14,54,33,49,4968790,1,squat
-45,33,70,13,36,7,52,19,24,4969102,1,squat
-54,-12,83,13,42,3,58,8,23,4969414,1,squat
-51,-27,92,14,48,-1,10,-3,3,4969726,1,squat
-24,8,98,13,45,1,-103,-8,-26,4970038,1,squat
-31,60,17,15,31,17,-128,-19,-92,4970350,1,squat
-5,101,19,18,23,21,-3,20,-4,4970662,1,squat
-35,89,12,18,23,21,10,18,9,4970974,1,squat
-48,89,9,14,28,19,85,50,48,4971286,1,squat
-50,47,65,12,34,10,55,9,33,4971598,1,squat
-47,8,84,13,41,2,63,11,31,4971910,1,squat
-56,-35,87,12,49,-1,34,17,16,4972222,1,squat
-55,-35,102,11,49,0,-65,4,-19,4972534,1,squat
-57,40,51,12,35,9,-107,-39,-88,4972846,1,squat
-18,91,42,16,24,18,-76,-29,-21,4973158,1,squat
-30,98,33,16,23,19,7,47,14,4973470,1,squat
-44,75,47,11,31,13,72,33,63,4973782,1,squat
-68,30,74,10,40,4,58,26,36,4974094,1,squat
-52,-17,89,11,49,1,45,-2,9,4974406,1,squat
-72,-42,100,9,52,0,-36,-2,-8,4974718,1,squat
-62,38,64,9,38,5,-93,-49,-92,4975030,1,squat
-22,72,16,14,27,16,-96,-3,-62,4975342,1,squat
-12,91,4,16,24,19,-10,16,-2,4975654,1,squat
-21,67,13,13,26,19,81,15,55,4975966,1,squat
-49,57,58,10,34,10,65,19,39,4976278,1,squat
-48,23,81,9,42,3,64,13,30,4976590,1,squat
-48,-45,92,10,51,-1,36,12,14,4976902,1,squat
-61,-37,105,8,50,1,-66,-15,-25,4977214,1,squat
-55,35,59,8,38,9,-92,-35,-88,4977526,1,squat
-12,80,29,15,26,18,-63,3,-37,4977838,1,squat
5,98,4,16,25,20,-1,14,4,4978150,1,squat
-28,79,4,12,27,18,92,-13,72,4978462,1,squat
-40,59,71,9,37,8,86,29,48,4978774,1,squat
-42,-3,91,10,48,0,44,7,22,4979086,1,squat
-48,-37,90,8,53,-2,12,10,1,4979398,1,squat
-37,2,91,8,47,0,-107,-26,-53,4979710,1,squat
-38,62,28,11,34,11,-119,-47,-80,4980022,1,squat
-19,90,-13,15,26,20,22,-43,11,4980334,1,squat
-20,96,14,14,26,18,8,43,9,4980646,1,squat
-25,86,56,10,32,16,63,44,32,4980958,1,squat
-60,47,59,8,37,9,44,4,37,4981270,1,squat
-60,18,71,8,43,2,58,19,27,4981582,1,squat
-49,-23,77,9,50,0,55,16,15,4981894,1,squat
-61,-18,93,8,50,-1,-108,-13,-48,4982206,1,squat
-54,76,23,8,36,11,-138,-61,-95,4982518,1,squat
12,113,7,14,27,21,-1,-25,-1,4982830,1,squat
-41,93,6,13,26,21,9,19,22,4983142,1,squat
-28,74,29,9,32,17,58,36,39,4983454,1,squat
-54,55,61,7,37,10,45,16,30,4983766,1,squat
-58,26,75,8,40,6,34,20,22,4984078,1,squat
-56,-4,79,9,46,2,46,-2,10,4984390,1,squat
-52,-30,81,9,51,1,27,6,16,4984702,1,squat
-28,12,92,8,44,4,-103,-30,-61,4985014,1,squat
-19,69,19,11,32,18,-114,-27,-83,4985326,1,squat
-2,90,-6,14,26,20,16,-64,9,4985638,1,squat
-33,100,31,13,28,21,29,62,35,4985950,1,squat
-44,74,30,11,31,16,60,1,45,4986262,1,squat
-48,44,66,9,37,9,46,-1,24,4986574,1,squat
-50,13,76,9,40,5,42,8,23,4986886,1,squat
-55,-9,82,9,48,1,36,-3,13,4987198,1,squat
-45,-38,96,9,51,0,6,9,2,4987510,1,squat
-37,16,87,9,42,3,-87,-12,-51,4987822,1,squat
-25,88,12,12,33,17,-115,-35,-84,4988134,1,squat
12,90,-15,15,27,21,23,-74,13,4988446,1,squat
-28,95,-4,15,26,20,-21,42,0,4988758,1,squat
-10,103,45,10,29,18,63,84,41,4989070,1,squat
-59,52,48,10,36,12,73,13,29,4989382,1,squat
-41,9,82,11,41,4,62,18,37,4989694,1,squat
-58,-35,84,10,49,0,42,7,13,4990006,1,squat
-46,-43,98,9,52,-1,-36,-2,-5,4990318,1,squat
-35,22,75,8,41,4,-93,-24,-61,4990630,1,squat
-52,68,23,11,34,16,-72,-36,-58,4990942,1,squat
19,124,17,14,26,21,-21,-10,-23,4991254,1,squat
-13,96,-1,14,26,20,-1,4,5,4991566,1,squat
-26,77,8,9,29,18,90,68,50,4991878,1,squat
-40,60,67,8,37,11,47,-6,37,4992190,1,squat
-51,9,76,7,42,4,62,17,31,4992502,1,squat
-54,-28,91,8,50,0,36,-2,16,4992814,1,squat
-57,-26,102,7,52,0,-35,1,-7,4993126,1,squat
-62,25,74,7,40,6,-83,-28,-59,4993438,1,squat
-37,70,20,10,33,16,-95,-41,-71,4993750,1,squat
-12,98,8,14,26,20,22,-75,10,4994062,1,squat
-20,100,5,14,25,20,-5,27,1,4994374,1,squat
-12,88,19,10,27,20,64,25,45,4994686,1,squat
-38,54,51,8,33,12,61,-1,35,4994998,1,squat
-58,33,73,7,39,4,58,11,35,4995310,1,squat
-52,-11,84,7,48,2,41,-4,12,4995622,1,squat
-55,-31,84,7,52,-1,-3,1,6,4995934,1,squat
-27,17,85,6,44,1,-103,-8,-55,4996246,1,squat
-36,71,15,9,34,13,-110,-73,-82,4996558,1,squat
-22,104,24,13,26,20,-42,5,-37,4996870,1,squat
10,98,6,12,26,22,7,10,7,4997182,1,squat
-39,94,1,8,29,22,57,-15,39,4997494,1,squat
-33,79,46,6,34,13,62,24,32,4997806,1,squat
-51,37,69,4,39,7,52,11,35,4998118,1,squat
-44,-3,87,4,46,0,62,-8,42,4998430,1,squat
-55,-44,84,3,53,-1,4,7,9,4998742,1,squat
-77,15,72,3,46,1,-91,-37,-59,4999054,1,squat
-39,73,0,6,35,14,-128,-32,-81,4999366,1,squat
-3,86,1,8,28,22,-4,-18,-8,4999678,1,squat
-13,101,7,8,29,20,21,49,18,4999990,1,squat
-13,87,27,6,32,17,47,44,29,5000302,1,squat
-48,60,51,5,37,12,49,0,20,5000614,1,squat
-53,31,78,4,42,6,43,5,20,5000926,1,squat
-47,1,76,4,46,2,51,14,26,5001238,1,squat
-72,-62,107,4,53,-1,-38,-2,-9,5001550,1,squat
-57,42,67,4,41,7,-108,-33,-83,5001862,1,squat
9,53,30,8,29,17,-80,64,-66,5002174,1,squat
-16,101,-4,9,30,22,-10,43,5,5002486,1,squat
-12,90,8,6,32,20,41,12,45,5002798,1,squat
-32,69,55,4,36,14,59,14,42,5003110,1,squat
-50,35,72,2,41,7,45,5,31,5003422,1,squat
-58,9,79,2,46,3,45,4,33,5003734,1,squat
-52,-23,91,3,53,2,29,0,6,5004046,1,squat
-51,23,94,2,48,2,-97,5,-31,5004358,1,squat
-52,60,19,4,38,13,-108,-32,-82,5004670,1,squat
25,131,27,7,31,23,-20,17,-22,5004982,1,squat
-11,95,4,8,31,23,1,-13,-5,5005294,1,squat
-33,76,20,5,33,22,75,-39,52,5005606,1,squat
-31,69,56,3,37,14,66,9,23,5005918,1,squat
-45,39,76,2,43,6,39,10,21,5006230,1,squat
-53,0,85,2,49,2,38,7,27,5006542,1,squat
-51,-34,89,1,54,1,7,12,1,5006854,1,squat
-41,28,79,2,46,4,-92,-27,-72,5007166,1,squat
-51,74,-3,6,35,17,-103,-12,-84,5007478,1,squat
7,0,-38,4,36,29,-135,-25,-41,5007790,1,squat
38,-33,-115,10,48,38,203,233,202,5008102,1,squat
13,2,-48,17,53,51,62,18,33,5008414,1,squat
32,16,-95,17,54,50,-2,1,0,5008726,1,squat
31,15,-96,17,53,50,-1,0,0,5009038,1,squat
30,14,-96,16,54,51,-1,2,-1,5009350,1,squat
28,14,-97,16,54,54,1,-1,-1,5009662,1,squat
29,14,-97,16,54,53,1,-2,0,5009974,1,squat
28,14,-98,16,54,52,0,1,-1,5010286,1,squat
29,14,-100,17,53,52,0,-5,1,5010598,1,squat
30,17,-94,16,53,52,4,0,0,5010910,1,squat
27,14,-99,16,54,54,-2,4,-1,5011222,1,squat
32,23,-86,13,58,54,87,-68,27,5011534,1,squat
68,58,-50,28,41,33,83,-117,-8,5011846,1,squat
67,84,17,23,37,13,16,-12,3,5012158,1,squat
61,76,20,21,38,10,-2,0,-3,5012470,1,squat
61,73,23,22,39,10,8,-19,-7,5012782,1,squat
