-32,90,-17,8,37,28,4,-3,3,3258565,1,3,squat
-30,83,-14,7,37,28,3,-1,1,3258877,1,3,squat
-27,96,-16,7,37,28,-5,11,-6,3259189,1,3,squat
-23,98,-15,7,37,28,-2,4,3,3259501,1,3,squat
-33,93,-15,6,37,29,-11,22,-9,3259813,1,3,squat
-19,98,-17,7,38,29,-5,0,8,3260125,1,3,squat
-30,32,0,-2,37,23,88,2,90,3260437,1,3,squat
-82,47,35,-12,40,10,65,43,43,3260749,1,3,squat
-78,-4,69,-15,47,0,45,19,21,3261061,1,3,squat
-81,-24,78,-16,51,-5,5,-10,5,3261373,1,3,squat
-85,-1,53,-16,46,2,-73,-24,-44,3261685,1,3,squat
-72,58,21,-10,39,14,-44,-50,-50,3261997,1,3,squat
-43,85,1,-1,36,22,-27,-7,-58,3262309,1,3,squat
-37,89,-19,7,38,29,-14,-5,-22,3262621,1,3,squat
-22,92,-12,6,38,28,17,28,28,3262933,1,3,squat
-76,56,11,-7,39,17,65,44,65,3263245,1,3,squat
-62,45,61,-13,43,5,58,20,43,3263557,1,3,squat
-70,-25,88,-15,51,-4,59,5,32,3263869,1,3,squat
-75,2,76,-17,51,-2,-43,-21,-26,3264181,1,3,squat
-69,23,50,-15,43,6,-57,-11,-46,3264493,1,3,squat
-68,65,15,-9,39,15,-32,-40,-53,3264805,1,3,squat
-47,78,-3,1,36,23,-27,-22,-48,3265117,1,3,squat
-30,92,-9,7,38,27,1,28,-3,3265429,1,3,squat
-28,87,-9,5,37,26,10,-1,4,3265741,1,3,squat
-44,88,-10,6,37,28,-6,-8,-5,3266053,1,3,squat
-36,89,-8,5,37,29,-1,-8,4,3266365,1,3,squat
-40,89,-13,5,36,27,2,-4,3,3266677,1,3,squat

BASELINE FILE
