-26,94,-13,7,38,27,-1,-5,0,3282010,1,3,squat
-28,93,-12,7,37,27,-2,2,-2,3282322,1,3,squat
-26,94,-11,7,38,28,0,-3,0,3282634,1,3,squat
-30,92,-14,7,38,27,-2,7,-2,3282946,1,3,squat
-28,90,-14,7,38,27,1,-4,-1,3283258,1,3,squat
-14,96,-10,6,38,27,11,-16,10,3283570,1,3,squat
-34,90,-7,6,37,24,-5,8,0,3283882,1,3,squat
-22,100,-1,5,36,25,15,-2,19,3284194,1,3,squat
-45,86,-6,3,36,23,-55,33,-1,3284506,1,3,squat
-40,94,-12,1,36,25,-16,21,4,3284818,1,3,squat
-44,86,-10,2,37,28,4,2,0,3285130,1,3,squat
-33,96,-4,2,37,28,4,-5,-14,3285442,1,3,squat
-42,85,-11,3,36,26,-16,6,7,3285754,1,3,squat
-43,91,-5,3,37,27,5,1,0,3286066,1,3,squat
-39,88,-6,2,36,27,2,-5,-1,3286378,1,3,squat
-41,88,-3,3,37,26,1,-6,2,3286690,1,3,squat
-55,91,-17,3,36,26,-8,12,2,3287002,1,3,squat
-42,89,-1,2,36,27,-2,-12,0,3287314,1,3,squat
-42,88,-8,3,36,27,2,-7,-7,3287626,1,3,squat
-28,92,-7,4,37,26,2,-10,-4,3287938,1,3,squat
-31,91,-17,6,38,26,-13,9,-12,3288250,1,3,squat
-20,98,-16,7,38,27,-1,1,-1,3288562,1,3,squat
-30,90,-18,7,37,26,0,-2,-1,3288874,1,3,squat
-37,89,-22,7,38,28,6,-7,4,3289186,1,3,squat
-22,94,-17,6,38,29,-1,-2,-1,3289498,1,3,squat
-30,90,-17,7,38,26,9,-15,2,3289810,1,3,squat
-27,93,-15,7,37,26,4,-3,2,3290122,1,3,squat
-26,94,-15,7,37,26,-1,-1,-2,3290434,1,3,squat
-29,94,-16,7,37,27,-3,6,-2,3290746,1,3,squat
-23,95,-15,7,37,27,1,-2,-1,3291058,1,3,squat
-29,92,-17,7,37,27,-1,1,-1,3291370,1,3,squat
-26,91,-18,7,38,27,-1,5,-2,3291682,1,3,squat
-23,94,-14,7,38,27,0,-5,0,3291994,1,3,squat
-29,92,-17,7,37,27,1,-6,3,3292306,1,3,squat
