-42,73,-53,-3,56,28,-30,-3,6,7558634,2,bicep curl
-43,51,-75,-4,59,32,-33,-3,15,7558946,2,bicep curl
-54,16,-98,-5,67,33,-88,-2,52,7559258,2,bicep curl
-47,-44,-74,-4,78,29,-115,0,66,7559570,2,bicep curl
-19,-63,-26,2,79,19,-37,-15,6,7559882,2,bicep curl
-23,-75,-45,1,79,23,90,17,-24,7560194,2,bicep curl
-34,-6,-91,-4,71,33,123,21,-63,7560506,2,bicep curl
-53,51,-101,-4,60,32,72,13,-46,7560818,2,bicep curl
-39,78,-62,-2,55,28,4,1,-1,7561130,2,bicep curl
-43,54,-83,-3,59,29,-81,-10,25,7561442,2,bicep curl
-46,-7,-105,-4,70,31,-109,-5,38,7561754,2,bicep curl
-31,-69,-65,-2,80,24,-113,7,42,7562066,2,bicep curl
-23,-82,-30,1,80,20,37,7,-3,7562378,2,bicep curl
-29,-58,-63,0,78,26,77,-1,-24,7562690,2,bicep curl
-45,-5,-107,-3,71,31,84,-11,-38,7563002,2,bicep curl
-46,47,-85,-3,61,32,82,20,-34,7563314,2,bicep curl
-46,68,-76,-2,56,27,3,-6,-1,7563626,2,bicep curl
-48,52,-93,-2,59,29,-94,-9,38,7563938,2,bicep curl
-42,-14,-90,-4,72,31,-121,-10,48,7564250,2,bicep curl
-22,-62,-40,0,78,23,-37,-2,13,7564562,2,bicep curl
-25,-67,-62,0,78,25,62,13,-20,7564874,2,bicep curl
-47,-13,-92,-3,70,31,110,26,-38,7565186,2,bicep curl
-53,53,-81,-3,60,30,68,14,-33,7565498,2,bicep curl
-41,72,-62,-1,55,25,14,2,-6,7565810,2,bicep curl
-50,53,-91,-2,58,27,-97,-8,37,7566122,2,bicep curl
-51,-9,-87,-4,70,31,-123,16,38,7566434,2,bicep curl
-29,-65,-44,0,78,25,-68,-14,25,7566746,2,bicep curl
-24,-78,-38,1,79,22,50,3,-8,7567058,2,bicep curl
-44,-35,-83,-3,74,30,98,18,-63,7567370,2,bicep curl
-50,36,-101,-4,64,34,94,6,-47,7567682,2,bicep curl
-50,71,-76,-2,56,28,31,8,-28,7567994,2,bicep curl
-48,66,-74,-2,58,28,-56,-3,24,7568306,2,bicep curl
-45,5,-97,-3,66,32,-114,3,40,7568618,2,bicep curl
-25,-70,-64,-2,78,27,-123,0,58,7568930,2,bicep curl
-23,-82,-27,2,78,19,27,5,4,7569242,2,bicep curl
-28,-61,-70,0,76,27,92,5,-24,7569554,2,bicep curl
-37,0,-104,-2,68,31,81,-18,-40,7569866,2,bicep curl
-40,46,-78,-1,60,29,71,9,-32,7570178,2,bicep curl
-17,58,-81,-1,58,27,2,6,6,7570490,2,bicep curl
-39,49,-73,-2,58,27,-2,-2,2,7570802,2,bicep curl
-39,62,-88,-2,58,27,-23,14,4,7571114,2,bicep curl
-42,11,-105,-2,63,29,-93,1,32,7571426,2,bicep curl
-43,-32,-83,-2,75,28,-113,30,39,7571738,2,bicep curl
-29,-75,-29,0,77,23,6,-3,-3,7572050,2,bicep curl
-38,-55,-73,-2,76,28,83,-1,-29,7572362,2,bicep curl
-45,-8,-98,-4,68,32,80,11,-34,7572674,2,bicep curl
-49,49,-72,-3,60,30,64,-3,-27,7572986,2,bicep curl
-51,50,-83,-2,57,27,-13,0,5,7573298,2,bicep curl
-48,36,-95,-3,61,30,-96,-3,41,7573610,2,bicep curl
-27,-33,-90,-2,73,28,-106,-4,43,7573922,2,bicep curl
-18,-70,-42,1,77,22,-39,0,14,7574234,2,bicep curl
-21,-72,-54,0,76,25,63,13,-14,7574546,2,bicep curl
-40,-24,-94,-2,71,30,98,10,-43,7574858,2,bicep curl
