6,96,17,-8,39,21,2,3,0,3955070,2,squat
-1,97,18,-9,40,18,38,2,29,3955382,2,squat
-14,55,60,-13,44,9,83,19,48,3955694,2,squat
-29,21,82,-15,53,-1,72,28,30,3956006,2,squat
-21,-12,100,-14,61,-6,38,10,12,3956318,2,squat
-20,-30,93,-13,64,-7,7,-2,1,3956630,2,squat
-22,-28,102,-13,65,-7,-13,-4,-4,3956942,2,squat
-22,11,91,-14,58,-5,-60,-10,-25,3957254,2,squat
-30,38,81,-15,50,-1,-49,-14,-30,3957566,2,squat
-27,71,53,-15,44,8,-53,-8,-32,3957878,2,squat
-6,92,34,-11,40,15,-24,-14,-23,3958190,2,squat
13,93,29,-7,39,19,-21,20,-30,3958502,2,squat
31,123,-6,-3,39,26,-89,-9,-80,3958814,2,squat
27,96,-1,-1,39,27,2,-9,0,3959126,2,squat
24,100,-10,-1,39,27,-4,22,-13,3959438,2,squat
28,90,1,-2,38,25,10,-8,6,3959750,2,squat
13,93,14,-3,38,23,27,5,30,3960062,2,squat
-11,82,36,-9,39,16,59,-4,61,3960374,2,squat
-37,65,67,-16,47,6,64,0,40,3960686,2,squat
-57,16,84,-17,55,-1,42,-1,24,3960998,2,squat
-43,-8,93,-19,60,-2,23,1,14,3961310,2,squat
-43,-12,88,-18,61,-1,3,-2,-2,3961622,2,squat
-46,-10,87,-18,61,-3,-5,-2,-2,3961934,2,squat
-49,5,94,-18,58,-1,-51,0,-24,3962246,2,squat
-41,55,64,-17,49,4,-62,-15,-63,3962558,2,squat
-2,61,41,-8,40,14,-55,8,-63,3962870,2,squat
26,88,14,-1,38,22,-33,-7,-31,3963182,2,squat
29,96,6,2,38,24,-9,0,-10,3963494,2,squat
37,91,4,3,38,26,3,-1,1,3963806,2,squat
38,90,4,3,38,26,1,-2,0,3964118,2,squat
35,92,9,3,38,25,2,10,-1,3964430,2,squat
42,87,9,2,38,25,20,2,9,3964742,2,squat
28,92,19,1,38,24,12,-15,8,3965054,2,squat
30,87,12,0,37,23,9,-3,4,3965366,2,squat

BASELINE FILE
